State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Male Workers,Female Workers,Non Workers,Agricultural Workers,Household Workers,Rural Households,Urban Households,Households,LPG or PNG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Primary Education,Secondary Education,Higher Education,Graduate Education,Households with Car Jeep Van,Ownership Owned Households,Ownership Rented Households,Sex ratio,Literacy_rate
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,748811,1661307,243993,5665,11058,280,25742,534650,214161,1202203,134992,25125,203454,311735,515189,165563,339899,12843,36297,294591,172538,118710,167778,24848,300393,69588,91.0,67.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,1425882,2833443,454487,1912,366,163,12940,857031,568851,1881861,263401,29647,675712,166489,842201,97267,347344,4449,35328,486057,242053,147701,117444,26150,562803,15019,95.0,53.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,842327,1870543,143476,1345,1540,141,18974,523077,319250,1195246,237280,26119,512909,139808,652717,94821,326793,4043,19270,359329,144581,71472,67021,14175,396294,26351,99.0,53.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,550831,1105676,33677,759,260,100,14966,319534,231297,605766,106587,13505,304622,61054,365676,36073,193276,1989,9222,190388,72969,41063,34286,7060,229656,13593,99.0,54.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,578068,1165505,155681,945,812,177,9991,343802,234266,757483,88804,12070,282057,71264,353321,40116,140947,1887,14310,172925,87349,57625,70870,4398,243362,7424,90.0,56.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,1006504,2342076,327583,1122,356,177,4050,657854,348650,1670829,87889,22776,527560,178274,705834,131342,339457,5647,28382,438872,282595,200430,181282,22494,434072,7418,95.0,62.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,419829,996562,30479,1284,572,114,6829,272196,147633,616517,97823,9443,238535,69639,308174,47182,134089,2146,10297,147381,58213,30724,27076,6343,184197,13430,94.0,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,649161,1243527,153146,754,378,122,22458,371848,277313,772165,113426,16004,298911,81755,380666,32359,158264,1908,12482,190750,91853,64431,67155,6295,258120,7695,95.0,53.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,1365783,2869976,104307,7406,4278,209,78647,835839,529944,1702637,302968,33535,665449,182769,848218,128320,357846,14211,48517,386075,164290,102085,142672,27979,575790,35318,96.0,52.0
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,579692,1410852,178807,15792,53027,2643,46927,486951,92741,1129654,3094,19541,1086,461132,462218,327253,352758,80037,127465,219061,267825,235187,246988,87499,241976,101386,88.0,79.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,359851,708397,7942,37403,104,88,65,212547,147304,395043,166837,13564,223955,30322,254277,39642,177502,1749,8371,134123,96860,53934,57524,2937,181005,14004,101.0,64.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,1817297,3751322,439270,358662,2851,2804,51708,1369302,447995,2829435,13674,37345,0,1314125,1314125,910262,1096334,217368,355838,516445,801050,464207,905515,146388,522493,565934,99.0,81.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,1567950,3044145,211035,190314,1112,435,3284,1083125,484825,1890095,230026,50085,284795,884957,1169752,675153,896325,63273,149920,466745,526165,273098,440520,87211,561733,346382,100.0,76.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,1169880,2391675,123749,83334,401,236,1280,749633,420247,1436034,539412,32027,497429,260780,758209,244610,598412,15396,50938,412237,386652,186394,227530,19828,526657,98143,99.0,70.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,751170,1452956,38304,14089,164,39,37,446057,305113,755673,267345,15341,396819,91107,487926,104785,337972,3651,18927,240222,177877,103367,112592,5843,344702,32008,95.0,61.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,1105155,1879494,105012,169945,313,256,71,665469,439686,1054620,467959,30829,443818,269724,713542,209640,500057,9155,38677,386421,282628,153100,163050,15538,445908,106467,100.0,69.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,1195773,2115455,76098,55899,435,148,639,732083,463690,1055971,370212,54322,411286,432398,843684,371015,595211,18604,58861,345914,269016,155344,215514,33405,466373,177609,99.0,66.0
